simulated play No. 1,Lose, -$5
simulated play No. 2,Lose, -$5
simulated play No. 3,Lose, -$5
simulated play No. 4,Win, +$5
simulated play No. 5,Win, +$5
simulated play No. 6,Lose, -$5
simulated play No. 7,Lose, -$5
simulated play No. 8,Lose, -$5
simulated play No. 9,Lose, -$5
simulated play No. 10,Lose, -$5
simulated play No. 11,Lose, -$5
simulated play No. 12,Win, +$5
simulated play No. 13,Lose, -$5
simulated play No. 14,Lose, -$5
simulated play No. 15,Win, +$5
simulated play No. 16,Lose, -$5
simulated play No. 17,Lose, -$5
simulated play No. 18,Lose, -$5
simulated play No. 19,Lose, -$5
simulated play No. 20,Win, +$5
simulated play No. 21,Lose, -$5
simulated play No. 22,Lose, -$5
simulated play No. 23,Lose, -$5
simulated play No. 24,Lose, -$5
simulated play No. 25,Win, +$5
simulated play No. 26,Lose, -$5
simulated play No. 27,Win, +$5
simulated play No. 28,Lose, -$5
simulated play No. 29,Lose, -$5
simulated play No. 30,Lose, -$5
simulated play No. 31,Lose, -$5
simulated play No. 32,Win, +$5
simulated play No. 33,Lose, -$5
simulated play No. 34,Lose, -$5
simulated play No. 35,Lose, -$5
simulated play No. 36,Lose, -$5
simulated play No. 37,Win, +$5
simulated play No. 38,Lose, -$5
simulated play No. 39,Lose, -$5
simulated play No. 40,Lose, -$5
simulated play No. 41,Lose, -$5
simulated play No. 42,Win, +$5
simulated play No. 43,Lose, -$5
simulated play No. 44,Lose, -$5
simulated play No. 45,Lose, -$5
simulated play No. 46,Lose, -$5
simulated play No. 47,Lose, -$5
simulated play No. 48,Lose, -$5
simulated play No. 49,Lose, -$5
simulated play No. 50,Lose, -$5
simulated play No. 51,Lose, -$5
simulated play No. 52,Win, +$5
simulated play No. 53,Win, +$5
simulated play No. 54,Lose, -$5
simulated play No. 55,Win, +$5
simulated play No. 56,Lose, -$5
simulated play No. 57,Lose, -$5
simulated play No. 58,Lose, -$5
simulated play No. 59,Lose, -$5
simulated play No. 60,Lose, -$5
simulated play No. 61,Lose, -$5
simulated play No. 62,Lose, -$5
simulated play No. 63,Lose, -$5
simulated play No. 64,Lose, -$5
simulated play No. 65,Lose, -$5
simulated play No. 66,Win, +$5
simulated play No. 67,Lose, -$5
simulated play No. 68,Lose, -$5
simulated play No. 69,Lose, -$5
simulated play No. 70,Lose, -$5
simulated play No. 71,Lose, -$5
simulated play No. 72,Lose, -$5
simulated play No. 73,Lose, -$5
simulated play No. 74,Lose, -$5
simulated play No. 75,Lose, -$5
simulated play No. 76,Lose, -$5
simulated play No. 77,Win, +$5
simulated play No. 78,Lose, -$5
simulated play No. 79,Lose, -$5
simulated play No. 80,Lose, -$5
simulated play No. 81,Lose, -$5
simulated play No. 82,Lose, -$5
simulated play No. 83,Lose, -$5
simulated play No. 84,Win, +$5
simulated play No. 85,Lose, -$5
simulated play No. 86,Lose, -$5
simulated play No. 87,Lose, -$5
simulated play No. 88,Win, +$5
simulated play No. 89,Win, +$5
simulated play No. 90,Win, +$5
simulated play No. 91,Lose, -$5
simulated play No. 92,Win, +$5
simulated play No. 93,Lose, -$5
simulated play No. 94,Lose, -$5
simulated play No. 95,Lose, -$5
simulated play No. 96,Win, +$5
simulated play No. 97,Lose, -$5
simulated play No. 98,Lose, -$5
simulated play No. 99,Lose, -$5
simulated play No. 100,Win, +$5
simulated play No. 101,Lose, -$5
simulated play No. 102,Lose, -$5
simulated play No. 103,Lose, -$5
simulated play No. 104,Lose, -$5
simulated play No. 105,Lose, -$5
simulated play No. 106,Lose, -$5
simulated play No. 107,Lose, -$5
simulated play No. 108,Lose, -$5
simulated play No. 109,Lose, -$5
simulated play No. 110,Lose, -$5
simulated play No. 111,Lose, -$5
simulated play No. 112,Lose, -$5
simulated play No. 113,Lose, -$5
simulated play No. 114,Lose, -$5
simulated play No. 115,Lose, -$5
simulated play No. 116,Lose, -$5
simulated play No. 117,Win, +$5
simulated play No. 118,Lose, -$5
simulated play No. 119,Lose, -$5
simulated play No. 120,Lose, -$5
simulated play No. 121,Win, +$5
simulated play No. 122,Lose, -$5
simulated play No. 123,Lose, -$5
simulated play No. 124,Lose, -$5
simulated play No. 125,Win, +$5
simulated play No. 126,Lose, -$5
simulated play No. 127,Lose, -$5
simulated play No. 128,Lose, -$5
simulated play No. 129,Lose, -$5
simulated play No. 130,Lose, -$5
simulated play No. 131,Win, +$5
simulated play No. 132,Lose, -$5
simulated play No. 133,Lose, -$5
simulated play No. 134,Lose, -$5
simulated play No. 135,Win, +$5
simulated play No. 136,Win, +$5
simulated play No. 137,Lose, -$5
simulated play No. 138,Lose, -$5
simulated play No. 139,Lose, -$5
simulated play No. 140,Lose, -$5
simulated play No. 141,Lose, -$5
simulated play No. 142,Lose, -$5
simulated play No. 143,Lose, -$5
simulated play No. 144,Win, +$5
simulated play No. 145,Lose, -$5
simulated play No. 146,Lose, -$5
simulated play No. 147,Lose, -$5
simulated play No. 148,Lose, -$5
simulated play No. 149,Lose, -$5
simulated play No. 150,Lose, -$5
simulated play No. 151,Lose, -$5
simulated play No. 152,Lose, -$5
simulated play No. 153,Win, +$5
simulated play No. 154,Lose, -$5
simulated play No. 155,Lose, -$5
simulated play No. 156,Lose, -$5
simulated play No. 157,Lose, -$5
simulated play No. 158,Lose, -$5
simulated play No. 159,Win, +$5
simulated play No. 160,Lose, -$5
simulated play No. 161,Lose, -$5
simulated play No. 162,Lose, -$5
simulated play No. 163,Lose, -$5
simulated play No. 164,Lose, -$5
simulated play No. 165,Lose, -$5
simulated play No. 166,Lose, -$5
simulated play No. 167,Lose, -$5
simulated play No. 168,Lose, -$5
simulated play No. 169,Lose, -$5
simulated play No. 170,Lose, -$5
simulated play No. 171,Win, +$5
simulated play No. 172,Win, +$5
simulated play No. 173,Lose, -$5
simulated play No. 174,Lose, -$5
simulated play No. 175,Lose, -$5
simulated play No. 176,Lose, -$5
simulated play No. 177,Lose, -$5
simulated play No. 178,Lose, -$5
simulated play No. 179,Lose, -$5
simulated play No. 180,Lose, -$5
simulated play No. 181,Win, +$5
simulated play No. 182,Lose, -$5
simulated play No. 183,Lose, -$5
simulated play No. 184,Lose, -$5
simulated play No. 185,Lose, -$5
simulated play No. 186,Lose, -$5
simulated play No. 187,Lose, -$5
simulated play No. 188,Lose, -$5
simulated play No. 189,Win, +$5
simulated play No. 190,Lose, -$5
simulated play No. 191,Lose, -$5
simulated play No. 192,Win, +$5
simulated play No. 193,Win, +$5
simulated play No. 194,Lose, -$5
simulated play No. 195,Win, +$5
simulated play No. 196,Lose, -$5
simulated play No. 197,Lose, -$5
simulated play No. 198,Lose, -$5
simulated play No. 199,Win, +$5
simulated play No. 200,Lose, -$5
simulated play No. 201,Win, +$5
simulated play No. 202,Lose, -$5
simulated play No. 203,Win, +$5
simulated play No. 204,Lose, -$5
simulated play No. 205,Win, +$5
simulated play No. 206,Lose, -$5
simulated play No. 207,Lose, -$5
simulated play No. 208,Lose, -$5
simulated play No. 209,Lose, -$5
simulated play No. 210,Lose, -$5
simulated play No. 211,Lose, -$5
simulated play No. 212,Lose, -$5
simulated play No. 213,Lose, -$5
simulated play No. 214,Lose, -$5
simulated play No. 215,Lose, -$5
simulated play No. 216,Lose, -$5
simulated play No. 217,Lose, -$5
simulated play No. 218,Lose, -$5
simulated play No. 219,Lose, -$5
simulated play No. 220,Win, +$5
simulated play No. 221,Lose, -$5
simulated play No. 222,Win, +$5
simulated play No. 223,Lose, -$5
simulated play No. 224,Lose, -$5
simulated play No. 225,Lose, -$5
simulated play No. 226,Lose, -$5
simulated play No. 227,Win, +$5
simulated play No. 228,Lose, -$5
simulated play No. 229,Lose, -$5
simulated play No. 230,Lose, -$5
simulated play No. 231,Lose, -$5
simulated play No. 232,Lose, -$5
simulated play No. 233,Lose, -$5
simulated play No. 234,Lose, -$5
simulated play No. 235,Lose, -$5
simulated play No. 236,Lose, -$5
simulated play No. 237,Lose, -$5
simulated play No. 238,Lose, -$5
simulated play No. 239,Win, +$5
simulated play No. 240,Win, +$5
simulated play No. 241,Lose, -$5
simulated play No. 242,Win, +$5
simulated play No. 243,Lose, -$5
simulated play No. 244,Lose, -$5
simulated play No. 245,Lose, -$5
simulated play No. 246,Lose, -$5
simulated play No. 247,Lose, -$5
simulated play No. 248,Lose, -$5
simulated play No. 249,Lose, -$5
simulated play No. 250,Lose, -$5
simulated play No. 251,Win, +$5
simulated play No. 252,Lose, -$5
simulated play No. 253,Lose, -$5
simulated play No. 254,Lose, -$5
simulated play No. 255,Lose, -$5
simulated play No. 256,Lose, -$5
simulated play No. 257,Lose, -$5
simulated play No. 258,Win, +$5
simulated play No. 259,Lose, -$5
simulated play No. 260,Lose, -$5
simulated play No. 261,Lose, -$5
simulated play No. 262,Lose, -$5
simulated play No. 263,Lose, -$5
simulated play No. 264,Lose, -$5
simulated play No. 265,Lose, -$5
simulated play No. 266,Win, +$5
simulated play No. 267,Win, +$5
simulated play No. 268,Lose, -$5
simulated play No. 269,Lose, -$5
simulated play No. 270,Lose, -$5
simulated play No. 271,Win, +$5
simulated play No. 272,Lose, -$5
simulated play No. 273,Win, +$5
simulated play No. 274,Lose, -$5
simulated play No. 275,Lose, -$5
simulated play No. 276,Lose, -$5
simulated play No. 277,Lose, -$5
simulated play No. 278,Lose, -$5
simulated play No. 279,Lose, -$5
simulated play No. 280,Lose, -$5
simulated play No. 281,Win, +$5
simulated play No. 282,Lose, -$5
simulated play No. 283,Win, +$5
simulated play No. 284,Lose, -$5
simulated play No. 285,Lose, -$5
simulated play No. 286,Lose, -$5
simulated play No. 287,Lose, -$5
simulated play No. 288,Win, +$5
simulated play No. 289,Lose, -$5
simulated play No. 290,Win, +$5
simulated play No. 291,Lose, -$5
simulated play No. 292,Lose, -$5
simulated play No. 293,Win, +$5
simulated play No. 294,Lose, -$5
simulated play No. 295,Lose, -$5
simulated play No. 296,Lose, -$5
simulated play No. 297,Win, +$5
simulated play No. 298,Lose, -$5
simulated play No. 299,Lose, -$5
simulated play No. 300,Lose, -$5
simulated play No. 301,Lose, -$5
simulated play No. 302,Lose, -$5
simulated play No. 303,Lose, -$5
simulated play No. 304,Win, +$5
simulated play No. 305,Win, +$5
simulated play No. 306,Lose, -$5
simulated play No. 307,Lose, -$5
simulated play No. 308,Lose, -$5
simulated play No. 309,Lose, -$5
simulated play No. 310,Lose, -$5
simulated play No. 311,Win, +$5
simulated play No. 312,Lose, -$5
simulated play No. 313,Lose, -$5
simulated play No. 314,Lose, -$5
simulated play No. 315,Lose, -$5
simulated play No. 316,Lose, -$5
simulated play No. 317,Win, +$5
simulated play No. 318,Lose, -$5
simulated play No. 319,Lose, -$5
simulated play No. 320,Lose, -$5
simulated play No. 321,Lose, -$5
simulated play No. 322,Lose, -$5
simulated play No. 323,Lose, -$5
simulated play No. 324,Lose, -$5
simulated play No. 325,Lose, -$5
simulated play No. 326,Lose, -$5
simulated play No. 327,Lose, -$5
simulated play No. 328,Lose, -$5
simulated play No. 329,Lose, -$5
simulated play No. 330,Lose, -$5
simulated play No. 331,Lose, -$5
simulated play No. 332,Lose, -$5
simulated play No. 333,Lose, -$5
simulated play No. 334,Lose, -$5
simulated play No. 335,Lose, -$5
simulated play No. 336,Win, +$5
simulated play No. 337,Lose, -$5
simulated play No. 338,Lose, -$5
simulated play No. 339,Lose, -$5
simulated play No. 340,Lose, -$5
simulated play No. 341,Lose, -$5
simulated play No. 342,Win, +$5
simulated play No. 343,Lose, -$5
simulated play No. 344,Lose, -$5
simulated play No. 345,Lose, -$5
simulated play No. 346,Lose, -$5
simulated play No. 347,Win, +$5
simulated play No. 348,Lose, -$5
simulated play No. 349,Lose, -$5
simulated play No. 350,Lose, -$5
simulated play No. 351,Win, +$5
simulated play No. 352,Win, +$5
simulated play No. 353,Lose, -$5
simulated play No. 354,Lose, -$5
simulated play No. 355,Win, +$5
simulated play No. 356,Lose, -$5
simulated play No. 357,Lose, -$5
simulated play No. 358,Lose, -$5
simulated play No. 359,Lose, -$5
simulated play No. 360,Lose, -$5
simulated play No. 361,Lose, -$5
simulated play No. 362,Win, +$5
simulated play No. 363,Win, +$5
simulated play No. 364,Lose, -$5
simulated play No. 365,Lose, -$5
simulated play No. 366,Lose, -$5
simulated play No. 367,Lose, -$5
simulated play No. 368,Lose, -$5
simulated play No. 369,Lose, -$5
simulated play No. 370,Lose, -$5
simulated play No. 371,Lose, -$5
simulated play No. 372,Lose, -$5
simulated play No. 373,Win, +$5
simulated play No. 374,Lose, -$5
simulated play No. 375,Lose, -$5
simulated play No. 376,Lose, -$5
simulated play No. 377,Win, +$5
simulated play No. 378,Lose, -$5
simulated play No. 379,Lose, -$5
simulated play No. 380,Lose, -$5
simulated play No. 381,Lose, -$5
simulated play No. 382,Win, +$5
simulated play No. 383,Lose, -$5
simulated play No. 384,Lose, -$5
simulated play No. 385,Lose, -$5
simulated play No. 386,Lose, -$5
simulated play No. 387,Lose, -$5
simulated play No. 388,Lose, -$5
simulated play No. 389,Lose, -$5
simulated play No. 390,Lose, -$5
simulated play No. 391,Lose, -$5
simulated play No. 392,Lose, -$5
simulated play No. 393,Lose, -$5
simulated play No. 394,Lose, -$5
simulated play No. 395,Lose, -$5
simulated play No. 396,Win, +$5
simulated play No. 397,Win, +$5
simulated play No. 398,Lose, -$5
simulated play No. 399,Lose, -$5
simulated play No. 400,Lose, -$5
simulated play No. 401,Lose, -$5
simulated play No. 402,Lose, -$5
simulated play No. 403,Win, +$5
simulated play No. 404,Lose, -$5
simulated play No. 405,Win, +$5
simulated play No. 406,Lose, -$5
simulated play No. 407,Lose, -$5
simulated play No. 408,Lose, -$5
simulated play No. 409,Win, +$5
simulated play No. 410,Win, +$5
simulated play No. 411,Lose, -$5
simulated play No. 412,Lose, -$5
simulated play No. 413,Lose, -$5
simulated play No. 414,Lose, -$5
simulated play No. 415,Lose, -$5
simulated play No. 416,Lose, -$5
simulated play No. 417,Win, +$5
simulated play No. 418,Lose, -$5
simulated play No. 419,Lose, -$5
simulated play No. 420,Win, +$5
simulated play No. 421,Lose, -$5
simulated play No. 422,Lose, -$5
simulated play No. 423,Win, +$5
simulated play No. 424,Lose, -$5
simulated play No. 425,Lose, -$5
simulated play No. 426,Lose, -$5
simulated play No. 427,Lose, -$5
simulated play No. 428,Lose, -$5
simulated play No. 429,Lose, -$5
simulated play No. 430,Win, +$5
simulated play No. 431,Lose, -$5
simulated play No. 432,Lose, -$5
simulated play No. 433,Lose, -$5
simulated play No. 434,Win, +$5
simulated play No. 435,Win, +$5
simulated play No. 436,Lose, -$5
simulated play No. 437,Lose, -$5
simulated play No. 438,Lose, -$5
simulated play No. 439,Lose, -$5
simulated play No. 440,Lose, -$5
simulated play No. 441,Lose, -$5
simulated play No. 442,Lose, -$5
simulated play No. 443,Lose, -$5
simulated play No. 444,Lose, -$5
simulated play No. 445,Win, +$5
simulated play No. 446,Win, +$5
simulated play No. 447,Lose, -$5
simulated play No. 448,Lose, -$5
simulated play No. 449,Lose, -$5
simulated play No. 450,Lose, -$5
simulated play No. 451,Lose, -$5
simulated play No. 452,Lose, -$5
simulated play No. 453,Lose, -$5
simulated play No. 454,Lose, -$5
simulated play No. 455,Lose, -$5
simulated play No. 456,Lose, -$5
simulated play No. 457,Lose, -$5
simulated play No. 458,Lose, -$5
simulated play No. 459,Win, +$5
simulated play No. 460,Lose, -$5
simulated play No. 461,Lose, -$5
simulated play No. 462,Lose, -$5
simulated play No. 463,Lose, -$5
simulated play No. 464,Win, +$5
simulated play No. 465,Lose, -$5
simulated play No. 466,Win, +$5
simulated play No. 467,Lose, -$5
simulated play No. 468,Lose, -$5
simulated play No. 469,Lose, -$5
simulated play No. 470,Lose, -$5
simulated play No. 471,Lose, -$5
simulated play No. 472,Win, +$5
simulated play No. 473,Lose, -$5
simulated play No. 474,Lose, -$5
simulated play No. 475,Lose, -$5
simulated play No. 476,Win, +$5
simulated play No. 477,Lose, -$5
simulated play No. 478,Lose, -$5
simulated play No. 479,Win, +$5
simulated play No. 480,Lose, -$5
simulated play No. 481,Lose, -$5
simulated play No. 482,Lose, -$5
simulated play No. 483,Lose, -$5
simulated play No. 484,Lose, -$5
simulated play No. 485,Lose, -$5
simulated play No. 486,Lose, -$5
simulated play No. 487,Lose, -$5
simulated play No. 488,Win, +$5
simulated play No. 489,Lose, -$5
simulated play No. 490,Win, +$5
simulated play No. 491,Lose, -$5
simulated play No. 492,Lose, -$5
simulated play No. 493,Lose, -$5
simulated play No. 494,Lose, -$5
simulated play No. 495,Lose, -$5
simulated play No. 496,Win, +$5
simulated play No. 497,Lose, -$5
simulated play No. 498,Lose, -$5
simulated play No. 499,Lose, -$5
simulated play No. 500,Lose, -$5
simulated play No. 501,Lose, -$5
simulated play No. 502,Lose, -$5
